"id","symbol","signal","work","work_spot","created_at","updated_at","deleted_at"
"704","XRPUSDT","sell","1","1","2025-07-27 07:25:00","2025-09-04 16:41:45",""
"710","XRPUSDT","buy","1","1","2025-07-27 07:59:00","2025-09-04 16:41:45",""
"723","XRPUSDT","sell","1","1","2025-07-27 08:23:01","2025-09-04 16:41:45",""
"728","XRPUSDT","buy","1","1","2025-07-27 08:49:00","2025-09-04 16:41:45",""
"729","XRPUSDT","buy","1","1","2025-07-27 08:52:01","2025-09-04 16:41:45",""
"734","XRPUSDT","buy","1","1","2025-07-27 09:07:00","2025-09-04 16:41:45",""
"738","XRPUSDT","sell","1","1","2025-07-27 09:17:02","2025-09-04 16:41:45",""
"742","XRPUSDT","sell","1","1","2025-07-27 09:35:01","2025-09-04 16:41:45",""
"744","XRPUSDT","sell","1","1","2025-07-27 09:36:05","2025-09-04 16:41:45",""
"746","XRPUSDT","buy","1","1","2025-07-27 09:44:01","2025-09-04 16:41:45",""
"760","XRPUSDT","sell","1","1","2025-07-27 10:15:03","2025-09-04 16:41:45",""
"768","XRPUSDT","buy","1","1","2025-07-27 10:48:00","2025-09-04 16:41:45",""
"777","XRPUSDT","sell","1","1","2025-07-27 11:18:01","2025-09-04 16:41:45",""
"778","XRPUSDT","sell","1","1","2025-07-27 11:38:01","2025-09-04 16:41:45",""
"780","XRPUSDT","sell","1","1","2025-07-27 11:39:00","2025-09-04 16:41:45",""
"783","XRPUSDT","sell","1","1","2025-07-27 11:56:00","2025-09-04 16:41:45",""
"787","XRPUSDT","buy","1","1","2025-07-27 12:07:00","2025-09-04 16:41:45",""
"788","XRPUSDT","buy","1","1","2025-07-27 12:10:00","2025-09-04 16:41:45",""
"796","XRPUSDT","sell","1","1","2025-07-27 12:40:00","2025-09-04 16:41:45",""
"799","XRPUSDT","sell","1","1","2025-07-27 12:43:02","2025-09-04 16:41:45",""
"806","XRPUSDT","buy","1","1","2025-07-27 13:10:01","2025-09-04 16:41:45",""
"827","XRPUSDT","sell","1","1","2025-07-27 14:07:04","2025-09-04 16:41:45",""
"829","XRPUSDT","sell","1","1","2025-07-27 14:15:01","2025-09-04 16:41:45",""
"831","XRPUSDT","sell","1","1","2025-07-27 14:16:01","2025-09-04 16:41:45",""
"833","XRPUSDT","sell","1","1","2025-07-27 14:19:01","2025-09-04 16:41:45",""
"836","XRPUSDT","sell","1","1","2025-07-27 14:25:01","2025-09-04 16:41:45",""
"840","XRPUSDT","buy","1","1","2025-07-27 15:07:03","2025-09-04 16:41:45",""
"844","XRPUSDT","buy","1","1","2025-07-27 15:11:00","2025-09-04 16:41:45",""
"847","XRPUSDT","buy","1","1","2025-07-27 15:26:00","2025-09-04 16:41:45",""
"850","XRPUSDT","buy","1","1","2025-07-27 15:28:01","2025-09-04 16:41:45",""
"851","XRPUSDT","buy","1","1","2025-07-27 15:29:09","2025-09-04 16:41:45",""
"854","XRPUSDT","buy","1","1","2025-07-27 15:31:00","2025-09-04 16:41:45",""
"858","XRPUSDT","sell","1","1","2025-07-27 15:46:01","2025-09-04 16:41:45",""
"863","XRPUSDT","buy","1","1","2025-07-27 16:31:00","2025-09-04 16:41:45",""
"866","XRPUSDT","buy","1","1","2025-07-27 16:33:03","2025-09-04 16:41:45",""
"871","XRPUSDT","buy","1","1","2025-07-27 16:57:00","2025-09-04 16:41:45",""
"873","XRPUSDT","buy","1","1","2025-07-27 17:26:00","2025-09-04 16:41:45",""
"877","XRPUSDT","buy","1","1","2025-07-27 17:29:04","2025-09-04 16:41:45",""
"878","XRPUSDT","buy","1","1","2025-07-27 17:33:00","2025-09-04 16:41:45",""
"889","XRPUSDT","buy","1","1","2025-07-27 18:44:00","2025-09-04 16:41:45",""
"901","XRPUSDT","sell","1","1","2025-07-27 19:06:04","2025-09-04 16:41:45",""
"911","XRPUSDT","sell","1","1","2025-07-27 19:50:01","2025-09-04 16:41:45",""
"913","XRPUSDT","sell","1","1","2025-07-27 19:51:00","2025-09-04 16:41:45",""
"915","XRPUSDT","sell","1","1","2025-07-27 20:18:01","2025-09-04 16:41:45",""
"917","XRPUSDT","sell","1","1","2025-07-27 20:19:02","2025-09-04 16:41:45",""
"926","XRPUSDT","buy","1","1","2025-07-27 20:41:02","2025-09-04 16:41:45",""
"933","XRPUSDT","sell","1","1","2025-07-27 21:10:00","2025-09-04 16:41:45",""
"934","XRPUSDT","sell","1","1","2025-07-27 21:11:00","2025-09-04 16:41:45",""
"943","XRPUSDT","buy","1","1","2025-07-27 21:37:00","2025-09-04 16:41:45",""
"947","XRPUSDT","sell","1","1","2025-07-27 21:50:02","2025-09-04 16:41:45",""
"948","XRPUSDT","sell","1","1","2025-07-27 21:51:01","2025-09-04 16:41:45",""
"952","XRPUSDT","sell","1","1","2025-07-27 21:56:00","2025-09-04 16:41:45",""
"956","XRPUSDT","sell","1","1","2025-07-27 21:58:03","2025-09-04 16:41:45",""
"962","XRPUSDT","sell","1","1","2025-07-27 22:29:00","2025-09-04 16:41:45",""
"965","XRPUSDT","buy","1","1","2025-07-27 22:34:00","2025-09-04 16:41:45",""
"968","XRPUSDT","buy","1","1","2025-07-27 22:35:00","2025-09-04 16:41:45",""
"970","XRPUSDT","buy","1","1","2025-07-27 22:53:00","2025-09-04 16:41:45",""
"971","XRPUSDT","buy","1","1","2025-07-27 22:56:01","2025-09-04 16:41:45",""
"975","XRPUSDT","sell","1","1","2025-07-27 23:19:00","2025-09-04 16:41:45",""
"976","XRPUSDT","buy","1","1","2025-07-27 23:37:00","2025-09-04 16:41:45",""
"980","XRPUSDT","buy","1","1","2025-07-27 23:41:01","2025-09-04 16:41:45",""
"982","XRPUSDT","buy","1","1","2025-07-27 23:46:00","2025-09-04 16:41:45",""
"985","XRPUSDT","buy","1","1","2025-07-27 23:47:00","2025-09-04 16:41:45",""
"989","XRPUSDT","buy","1","1","2025-07-28 00:12:00","2025-09-04 16:41:45",""
"990","XRPUSDT","buy","1","1","2025-07-28 00:13:00","2025-09-04 16:41:45",""
"1006","XRPUSDT","sell","1","1","2025-07-28 01:02:01","2025-09-04 16:41:45",""
"1008","XRPUSDT","sell","1","1","2025-07-28 01:08:00","2025-09-04 16:41:45",""
"1010","XRPUSDT","sell","1","1","2025-07-28 01:16:00","2025-09-04 16:41:45",""
"1016","XRPUSDT","buy","1","1","2025-07-28 01:47:00","2025-09-04 16:41:45",""
"1025","XRPUSDT","buy","1","1","2025-07-28 01:57:00","2025-09-04 16:41:45",""
"1027","XRPUSDT","buy","1","1","2025-07-28 01:59:00","2025-09-04 16:41:45",""
"1031","XRPUSDT","buy","1","1","2025-07-28 02:20:01","2025-09-04 16:41:45",""
"1032","XRPUSDT","buy","1","1","2025-07-28 02:21:00","2025-09-04 16:41:45",""
"1034","XRPUSDT","sell","1","1","2025-07-28 02:29:00","2025-09-04 16:41:45",""
"1038","XRPUSDT","sell","1","1","2025-07-28 02:32:01","2025-09-04 16:41:45",""
"1042","XRPUSDT","sell","1","1","2025-07-28 02:56:00","2025-09-04 16:41:45",""
"1044","XRPUSDT","sell","1","1","2025-07-28 03:01:00","2025-09-04 16:41:45",""
"1052","XRPUSDT","buy","1","1","2025-07-28 03:18:00","2025-09-04 16:41:45",""
"1054","XRPUSDT","sell","1","1","2025-07-28 03:20:01","2025-09-04 16:41:45",""
"1064","XRPUSDT","sell","1","1","2025-07-28 03:59:01","2025-09-04 16:41:45",""
"1066","XRPUSDT","sell","1","1","2025-07-28 04:00:01","2025-09-04 16:41:45",""
"1072","XRPUSDT","buy","1","1","2025-07-28 04:17:01","2025-09-04 16:41:45",""
"1074","XRPUSDT","buy","1","1","2025-07-28 04:18:02","2025-09-04 16:41:45",""
"1079","XRPUSDT","sell","1","1","2025-07-28 04:35:03","2025-09-04 16:41:45",""
"1090","XRPUSDT","sell","1","1","2025-07-28 05:07:00","2025-09-04 16:41:45",""
"1097","XRPUSDT","buy","1","1","2025-07-28 05:35:00","2025-09-04 16:41:45",""
"1100","XRPUSDT","buy","1","1","2025-07-28 05:40:01","2025-09-04 16:41:45",""
"1103","XRPUSDT","buy","1","1","2025-07-28 05:54:00","2025-09-04 16:41:45",""
"1105","XRPUSDT","buy","1","1","2025-07-28 05:57:00","2025-09-04 16:41:45",""
"1113","XRPUSDT","buy","1","1","2025-07-28 06:14:00","2025-09-04 16:41:45",""
"1115","XRPUSDT","sell","1","1","2025-07-28 06:30:01","2025-09-04 16:41:45",""
"1119","XRPUSDT","sell","1","1","2025-07-28 06:32:03","2025-09-04 16:41:45",""
"1123","XRPUSDT","sell","1","1","2025-07-28 06:50:00","2025-09-04 16:41:45",""
"1130","XRPUSDT","sell","1","1","2025-07-28 07:10:00","2025-09-04 16:41:45",""
"1140","XRPUSDT","buy","1","1","2025-07-28 08:00:06","2025-09-04 16:41:45",""
"1141","XRPUSDT","buy","1","1","2025-07-28 08:01:00","2025-09-04 16:41:45",""
"1143","XRPUSDT","buy","1","1","2025-07-28 08:04:00","2025-09-04 16:41:45",""
"1150","XRPUSDT","sell","1","1","2025-07-28 08:52:00","2025-09-04 16:41:45",""
"1152","XRPUSDT","sell","1","1","2025-07-28 08:59:00","2025-09-04 16:41:45",""
"1158","XRPUSDT","sell","1","1","2025-07-28 09:16:01","2025-09-04 16:41:45",""
"1161","XRPUSDT","sell","1","1","2025-07-28 09:22:00","2025-09-04 16:41:45",""
"1181","XRPUSDT","buy","1","1","2025-07-28 10:25:00","2025-09-04 16:41:45",""
"1195","XRPUSDT","sell","1","1","2025-07-28 11:16:01","2025-09-04 16:41:45",""
"1198","XRPUSDT","sell","1","1","2025-07-28 11:19:05","2025-09-04 16:41:45",""
"1205","XRPUSDT","sell","1","1","2025-07-28 11:36:00","2025-09-04 16:41:45",""
"1206","XRPUSDT","sell","1","1","2025-07-28 11:38:00","2025-09-04 16:41:45",""
"1210","XRPUSDT","buy","1","1","2025-07-28 12:10:00","2025-09-04 16:41:45",""
"1215","XRPUSDT","sell","1","1","2025-07-28 12:39:03","2025-09-04 16:41:45",""
"1218","XRPUSDT","buy","1","1","2025-07-28 13:04:00","2025-09-04 16:41:45",""
"1223","XRPUSDT","buy","1","1","2025-07-28 13:09:01","2025-09-04 16:41:45",""
"1225","XRPUSDT","buy","1","1","2025-07-28 13:11:01","2025-09-04 16:41:45",""
"1237","XRPUSDT","sell","1","1","2025-07-28 14:02:00","2025-09-04 16:41:45",""
"1238","XRPUSDT","sell","1","1","2025-07-28 14:03:01","2025-09-04 16:41:45",""
"1239","XRPUSDT","sell","1","1","2025-07-28 14:04:01","2025-09-04 16:41:45",""
"1243","XRPUSDT","sell","1","1","2025-07-28 14:11:01","2025-09-04 16:41:45",""
"1245","XRPUSDT","sell","1","1","2025-07-28 14:12:00","2025-09-04 16:41:45",""
"1247","XRPUSDT","sell","1","1","2025-07-28 14:17:00","2025-09-04 16:41:45",""
"1251","XRPUSDT","sell","1","1","2025-07-28 14:20:00","2025-09-04 16:41:45",""
"1254","XRPUSDT","sell","1","1","2025-07-28 14:45:02","2025-09-04 16:41:45",""
"1255","XRPUSDT","sell","1","1","2025-07-28 14:46:01","2025-09-04 16:41:45",""
"1265","XRPUSDT","buy","1","1","2025-07-28 15:24:01","2025-09-04 16:41:45",""
"1267","XRPUSDT","buy","1","1","2025-07-28 15:25:00","2025-09-04 16:41:45",""
"1271","XRPUSDT","buy","1","1","2025-07-28 15:45:02","2025-09-04 16:41:45",""
"1279","XRPUSDT","sell","1","1","2025-07-28 16:02:00","2025-09-04 16:41:45",""
"1284","XRPUSDT","buy","1","1","2025-07-28 16:13:01","2025-09-04 16:41:45",""
"1292","XRPUSDT","buy","1","1","2025-07-28 17:11:00","2025-09-04 16:41:45",""
"1293","XRPUSDT","buy","1","1","2025-07-28 17:12:00","2025-09-04 16:41:45",""
"1295","XRPUSDT","buy","1","1","2025-07-28 17:14:00","2025-09-04 16:41:45",""
"1298","XRPUSDT","buy","1","1","2025-07-28 17:34:00","2025-09-04 16:41:45",""
"1304","XRPUSDT","sell","1","1","2025-07-28 17:57:01","2025-09-04 16:41:45",""
"1306","XRPUSDT","sell","1","1","2025-07-28 17:59:01","2025-09-04 16:41:45",""
"1315","XRPUSDT","buy","1","1","2025-07-28 18:36:01","2025-09-04 16:41:45",""
"1316","XRPUSDT","buy","1","1","2025-07-28 18:37:01","2025-09-04 16:41:45",""
"1320","XRPUSDT","buy","1","1","2025-07-28 18:44:00","2025-09-04 16:41:45",""
"1327","XRPUSDT","buy","1","1","2025-07-28 19:10:04","2025-09-04 16:41:45",""
"1332","XRPUSDT","sell","1","1","2025-07-28 19:25:02","2025-09-04 16:41:45",""
"1335","XRPUSDT","buy","1","1","2025-07-28 19:36:02","2025-09-04 16:41:45",""
"1340","XRPUSDT","buy","1","1","2025-07-28 20:06:02","2025-09-04 16:41:45",""
"1342","XRPUSDT","buy","1","1","2025-07-28 20:07:02","2025-09-04 16:41:45",""
"1343","XRPUSDT","buy","1","1","2025-07-28 20:09:01","2025-09-04 16:41:45",""
"1351","XRPUSDT","sell","1","1","2025-07-28 20:37:01","2025-09-04 16:41:45",""
"1361","XRPUSDT","buy","1","1","2025-07-28 21:08:01","2025-09-04 16:41:45",""
"1367","XRPUSDT","buy","1","1","2025-07-28 21:33:06","2025-09-04 16:41:45",""
"1373","XRPUSDT","buy","1","1","2025-07-28 21:48:13","2025-09-04 16:41:45",""
"1389","XRPUSDT","buy","1","1","2025-07-28 22:25:00","2025-09-04 16:41:45",""
"1395","XRPUSDT","sell","1","1","2025-07-28 23:08:01","2025-09-04 16:41:45",""
"1419","XRPUSDT","buy","1","1","2025-07-29 00:39:00","2025-09-04 16:41:45",""
"1421","XRPUSDT","buy","1","1","2025-07-29 00:41:00","2025-09-04 16:41:45",""
